x,y,z,kx,ky,kz,ex,ey,ez,distance,amp,status,ray_index
30,-10,60,0,0,-1,1,0,0,0,1,0,1
30,-8,60,0,0,-1,1,0,0,0,1,0,2
30,-6,60,0,0,-1,1,0,0,0,1,0,3
30,-4,60,0,0,-1,1,0,0,0,1,0,4
30,-2,60,0,0,-1,1,0,0,0,1,0,5
30,0,60,0,0,-1,1,0,0,0,1,0,6
30,2,60,0,0,-1,1,0,0,0,1,0,7
30,4,60,0,0,-1,1,0,0,0,1,0,8
30,6,60,0,0,-1,1,0,0,0,1,0,9
30,8,60,0,0,-1,1,0,0,0,1,0,10
30,10,60,0,0,-1,1,0,0,0,1,0,11
32,-10,60,0,0,-1,1,0,0,0,1,0,12
32,-8,60,0,0,-1,1,0,0,0,1,0,13
32,-6,60,0,0,-1,1,0,0,0,1,0,14
32,-4,60,0,0,-1,1,0,0,0,1,0,15
32,-2,60,0,0,-1,1,0,0,0,1,0,16
32,0,60,0,0,-1,1,0,0,0,1,0,17
32,2,60,0,0,-1,1,0,0,0,1,0,18
32,4,60,0,0,-1,1,0,0,0,1,0,19
32,6,60,0,0,-1,1,0,0,0,1,0,20
32,8,60,0,0,-1,1,0,0,0,1,0,21
32,10,60,0,0,-1,1,0,0,0,1,0,22
34,-10,60,0,0,-1,1,0,0,0,1,0,23
34,-8,60,0,0,-1,1,0,0,0,1,0,24
34,-6,60,0,0,-1,1,0,0,0,1,0,25
34,-4,60,0,0,-1,1,0,0,0,1,0,26
34,-2,60,0,0,-1,1,0,0,0,1,0,27
34,0,60,0,0,-1,1,0,0,0,1,0,28
34,2,60,0,0,-1,1,0,0,0,1,0,29
34,4,60,0,0,-1,1,0,0,0,1,0,30
34,6,60,0,0,-1,1,0,0,0,1,0,31
34,8,60,0,0,-1,1,0,0,0,1,0,32
34,10,60,0,0,-1,1,0,0,0,1,0,33
36,-10,60,0,0,-1,1,0,0,0,1,0,34
36,-8,60,0,0,-1,1,0,0,0,1,0,35
36,-6,60,0,0,-1,1,0,0,0,1,0,36
36,-4,60,0,0,-1,1,0,0,0,1,0,37
36,-2,60,0,0,-1,1,0,0,0,1,0,38
36,0,60,0,0,-1,1,0,0,0,1,0,39
36,2,60,0,0,-1,1,0,0,0,1,0,40
36,4,60,0,0,-1,1,0,0,0,1,0,41
36,6,60,0,0,-1,1,0,0,0,1,0,42
36,8,60,0,0,-1,1,0,0,0,1,0,43
36,10,60,0,0,-1,1,0,0,0,1,0,44
38,-10,60,0,0,-1,1,0,0,0,1,0,45
38,-8,60,0,0,-1,1,0,0,0,1,0,46
38,-6,60,0,0,-1,1,0,0,0,1,0,47
38,-4,60,0,0,-1,1,0,0,0,1,0,48
38,-2,60,0,0,-1,1,0,0,0,1,0,49
38,0,60,0,0,-1,1,0,0,0,1,0,50
38,2,60,0,0,-1,1,0,0,0,1,0,51
38,4,60,0,0,-1,1,0,0,0,1,0,52
38,6,60,0,0,-1,1,0,0,0,1,0,53
38,8,60,0,0,-1,1,0,0,0,1,0,54
38,10,60,0,0,-1,1,0,0,0,1,0,55
40,-10,60,0,0,-1,1,0,0,0,1,0,56
40,-8,60,0,0,-1,1,0,0,0,1,0,57
40,-6,60,0,0,-1,1,0,0,0,1,0,58
40,-4,60,0,0,-1,1,0,0,0,1,0,59
40,-2,60,0,0,-1,1,0,0,0,1,0,60
40,0,60,0,0,-1,1,0,0,0,1,0,61
40,2,60,0,0,-1,1,0,0,0,1,0,62
40,4,60,0,0,-1,1,0,0,0,1,0,63
40,6,60,0,0,-1,1,0,0,0,1,0,64
40,8,60,0,0,-1,1,0,0,0,1,0,65
40,10,60,0,0,-1,1,0,0,0,1,0,66
42,-10,60,0,0,-1,1,0,0,0,1,0,67
42,-8,60,0,0,-1,1,0,0,0,1,0,68
42,-6,60,0,0,-1,1,0,0,0,1,0,69
42,-4,60,0,0,-1,1,0,0,0,1,0,70
42,-2,60,0,0,-1,1,0,0,0,1,0,71
42,0,60,0,0,-1,1,0,0,0,1,0,72
42,2,60,0,0,-1,1,0,0,0,1,0,73
42,4,60,0,0,-1,1,0,0,0,1,0,74
42,6,60,0,0,-1,1,0,0,0,1,0,75
42,8,60,0,0,-1,1,0,0,0,1,0,76
42,10,60,0,0,-1,1,0,0,0,1,0,77
44,-10,60,0,0,-1,1,0,0,0,1,0,78
44,-8,60,0,0,-1,1,0,0,0,1,0,79
44,-6,60,0,0,-1,1,0,0,0,1,0,80
44,-4,60,0,0,-1,1,0,0,0,1,0,81
44,-2,60,0,0,-1,1,0,0,0,1,0,82
44,0,60,0,0,-1,1,0,0,0,1,0,83
44,2,60,0,0,-1,1,0,0,0,1,0,84
44,4,60,0,0,-1,1,0,0,0,1,0,85
44,6,60,0,0,-1,1,0,0,0,1,0,86
44,8,60,0,0,-1,1,0,0,0,1,0,87
44,10,60,0,0,-1,1,0,0,0,1,0,88
46,-10,60,0,0,-1,1,0,0,0,1,0,89
46,-8,60,0,0,-1,1,0,0,0,1,0,90
46,-6,60,0,0,-1,1,0,0,0,1,0,91
46,-4,60,0,0,-1,1,0,0,0,1,0,92
46,-2,60,0,0,-1,1,0,0,0,1,0,93
46,0,60,0,0,-1,1,0,0,0,1,0,94
46,2,60,0,0,-1,1,0,0,0,1,0,95
46,4,60,0,0,-1,1,0,0,0,1,0,96
46,6,60,0,0,-1,1,0,0,0,1,0,97
46,8,60,0,0,-1,1,0,0,0,1,0,98
46,10,60,0,0,-1,1,0,0,0,1,0,99
48,-10,60,0,0,-1,1,0,0,0,1,0,100
48,-8,60,0,0,-1,1,0,0,0,1,0,101
48,-6,60,0,0,-1,1,0,0,0,1,0,102
48,-4,60,0,0,-1,1,0,0,0,1,0,103
48,-2,60,0,0,-1,1,0,0,0,1,0,104
48,0,60,0,0,-1,1,0,0,0,1,0,105
48,2,60,0,0,-1,1,0,0,0,1,0,106
48,4,60,0,0,-1,1,0,0,0,1,0,107
48,6,60,0,0,-1,1,0,0,0,1,0,108
48,8,60,0,0,-1,1,0,0,0,1,0,109
48,10,60,0,0,-1,1,0,0,0,1,0,110
50,-10,60,0,0,-1,1,0,0,0,1,0,111
50,-8,60,0,0,-1,1,0,0,0,1,0,112
50,-6,60,0,0,-1,1,0,0,0,1,0,113
50,-4,60,0,0,-1,1,0,0,0,1,0,114
50,-2,60,0,0,-1,1,0,0,0,1,0,115
50,0,60,0,0,-1,1,0,0,0,1,0,116
50,2,60,0,0,-1,1,0,0,0,1,0,117
50,4,60,0,0,-1,1,0,0,0,1,0,118
50,6,60,0,0,-1,1,0,0,0,1,0,119
50,8,60,0,0,-1,1,0,0,0,1,0,120
50,10,60,0,0,-1,1,0,0,0,1,0,121
